LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID291556,291556,0,2901.002197265625,10.364365659192892,62.71378015612584,0.0,0.0,0,0.5,1,,16443.426229508197,15334.0,6678.0,30514.0,1003049.0,6462.16429291564,0.4919727768836109,1.6781256967838736
ID291552,291552,1,955.8131713867188,6.612853435950388,51.7480320473066,0.0,0.0,0,0.5,1,,6657.688524590164,6804.0,4401.0,8522.0,406119.0,1246.1940531204548,0.3975570448303967,3.0394689017815355
ID291553,291553,2,2697.0048828125,36.542625433929395,57.17166876674345,0.0,0.0,0,0.5,1,,10125.786885245901,4250.0,2333.0,48871.0,617673.0,11442.129975249005,0.6284974951711525,0.6830749481694527
ID291554,291554,3,1208.0618896484375,20.4710352131008,58.25304714641082,0.0,0.0,0,0.5,1,,8720.147540983606,9447.0,4998.0,10952.0,531929.0,1669.4628960244027,0.3933508371293055,2.949148581629052
ID291555,291555,4,197.8925018310547,31.34647580804631,58.7246817933718,0.0,0.0,0,0.5,1,,3329.590163934426,3365.0,2320.0,4226.0,203105.0,484.5632527355323,0.11429962068934768,1.4096558763082827
ID291548,291548,5,2033.648193359375,23.19976625236544,34.429342064490285,0.0,0.0,0,0.5,1,,10787.918032786885,10216.0,5405.0,17299.0,658063.0,3437.012880855904,0.5264517039701566,2.1650201444234702
ID291549,291549,6,3552.920166015625,31.43999685205627,42.4583084463442,0.0,0.0,0,0.5,1,,16223.032786885246,15128.0,4349.0,35706.0,989605.0,9429.12362659297,0.571263649063611,1.2510602864297649
ID291550,291550,7,681.5301513671875,31.162966097767992,44.26960829676131,0.0,0.0,0,0.5,1,,10794.72131147541,10419.0,7401.0,15681.0,658478.0,2065.236032766776,0.11769641145317179,1.1008067944099689
ID291551,291551,8,740.6731567382812,31.47748327851482,44.96905879009597,0.0,0.0,0,0.5,1,,10090.737704918032,10240.0,5695.0,14870.0,615535.0,1929.7746319336475,0.1673429823156538,1.4991854125196002
ID291546,291546,9,1196.1693115234375,53.80762596149019,6.801637172025131,0.0,0.0,0,0.5,1,,5884.737704918033,4018.0,2198.0,19013.0,358969.0,4059.001223214234,0.44528141516396624,0.8933467767206195
ID291547,291547,10,740.1416015625,36.62587087960084,23.0892216641351,0.0,0.0,0,0.5,1,,6975.081967213115,7119.0,3592.0,9009.0,425480.0,1310.3069906842693,0.25740265587751665,2.1794399301897185
ID291591,291591,9,1158.0228271484375,53.77417784010764,6.704587955141314,0.0,0.03,1,0.5,1,,5713.9672131147545,3977.0,2186.0,18565.0,348552.0,3977.0963233964767,0.4479765183142139,0.8889868999393883
ID291600,291600,4,186.79653930664062,31.333819236045155,58.7457566714726,0.0,0.03,1,0.5,1,,3195.0,3233.0,2313.0,3997.0,194895.0,462.7261609202575,0.11083125664860126,1.3778151965639716
ID291601,291601,0,3238.771240234375,10.265749420925452,62.52365330897254,0.0,0.03,1,0.5,1,,17476.786885245903,16773.0,6916.0,30899.0,1066084.0,6919.841691625501,0.5130704552874328,1.7128261421393973
ID291596,291596,8,704.0751953125,31.510149446712383,44.96519582132512,0.0,0.03,1,0.5,1,,9763.213114754099,9916.0,5345.0,13729.0,595556.0,1760.6522381847976,0.16434578749111695,1.5654016322512914
ID291597,291597,1,608.9328002929688,6.648052624925778,51.64187987515685,0.0,0.03,1,0.5,1,,5576.934426229508,5773.0,3717.0,6595.0,340193.0,736.6924475621303,0.29991717512306226,3.4932122232407035
ID291598,291598,2,2643.5400390625,36.54519031555519,57.11476575529528,0.0,0.03,1,0.5,1,,10075.131147540984,4828.0,2489.0,47681.0,614583.0,11288.796891129732,0.6300155536721038,0.6899102023582931
ID291599,291599,3,1167.2010498046875,20.41139622889197,58.337466390069316,0.0,0.03,1,0.5,1,,8480.688524590163,8837.0,4623.0,10761.0,517322.0,1503.2116012168035,0.39209136240044146,3.1780485394165474
ID291592,291592,10,706.8919677734375,36.626844528528395,23.094452068712027,0.0,0.03,1,0.5,1,,6727.737704918033,6923.0,3652.0,8693.0,410392.0,1238.2409956821728,0.2553453858252652,2.210337806840568
ID291593,291593,5,2164.905029296875,23.27424163025962,34.70224737272307,0.0,0.03,1,0.5,1,,10740.622950819672,9403.0,5055.0,20952.0,655178.0,4348.063285969722,0.5553935794089789,1.7641039116359094
ID291594,291594,6,3248.74560546875,31.56399148852592,42.75510839685931,0.0,0.03,1,0.5,1,,15627.0,13257.0,4315.0,39020.0,953247.0,8889.693391788043,0.538266472515675,1.2302250911981867
ID291595,291595,7,622.7249145507812,31.20840579869763,44.34720977619916,0.0,0.03,1,0.5,1,,10833.639344262296,10522.0,7709.0,15158.0,660852.0,1612.0989633888987,0.12497340083879374,1.4930969380567825
ID291557,291557,9,1113.70361328125,53.84509273404033,6.759246781014278,0.0,0.06,2,0.5,1,,5621.737704918033,3784.0,2402.0,17634.0,342926.0,3961.6238080768485,0.4447053383397482,0.8736156526266667
ID291558,291558,10,706.5118408203125,36.645756603385294,23.0891374541708,0.0,0.06,2,0.5,1,,6673.573770491803,6876.0,3646.0,8467.0,407088.0,1235.2601272473798,0.25677204840266343,2.207604500295047
ID291559,291559,5,1752.0224609375,23.181901640278635,34.84701038634798,0.0,0.06,2,0.5,1,,9840.754098360656,9355.0,4896.0,15103.0,600286.0,2894.4445043090027,0.4936337861800267,2.24726297302075
